Archivo_Original,Archivo_Similar,Nivel_Similitud,Coseno_BOW,BOW_Correcto,Coseno_TFIDF,TFIDF_Correcto,Coseno_Markov,Markov_Correcto
original.txt,high_03.txt,high,0.6571324298756662,False,0.8525159227522697,True,0.04502993031922332,False
original.txt,high_02.txt,high,0.7778081128701662,False,0.9029262534749118,True,0.1309380689663147,False
original.txt,high_00.txt,high,0.9048494609024906,True,0.9838615814282855,True,0.2143956821895498,False
original.txt,high_01.txt,high,0.8271018661769222,False,0.9271906542239772,True,0.10885150863561989,False
original.txt,moderate_02.txt,medium,0.6590901127441325,True,0.8705220079224816,False,0.05034169576811646,False
original.txt,moderate_03.txt,medium,0.5302386582858225,True,0.8436056849444244,True,0.02033356699493522,False
original.txt,moderate_01.txt,medium,0.747800624145657,True,0.8872051910875282,False,0.069722170956912,False
original.txt,low_01.txt,low,0.6316547827314785,False,0.851969602266877,False,0.02986017336428894,True
original.txt,low_03.txt,low,0.5126327944779273,False,0.7801948021698986,False,0.04447981390828679,True
original.txt,low_02.txt,low,0.4974092976812603,False,0.7580873738809574,False,0.031521411821517284,True
